DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, mujets, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))+0.078693985939025879" 
1, mujets, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))+0.078612744808197021" 
1, mujets, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))+0.10598199069499969" 
1, mujets, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))+0.10264283418655396" 
1, mujets, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))+0.12459111213684082" 
1, mujets, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))+0.17144666612148285" 
1, mujets, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))+0.11855997145175934" 
1, mujets, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))+0.3218543529510498" 
1, mujets, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))+0.053676065057516098" 
1, mujets, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))+0.026231328025460243" 
1, mujets, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))+0.026204248890280724" 
1, mujets, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))+0.035327330231666565" 
1, mujets, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))+0.034214276820421219" 
1, mujets, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))+0.041530370712280273" 
1, mujets, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))+0.05714888870716095" 
1, mujets, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))+0.039519991725683212" 
1, mujets, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))+0.1072847843170166" 
2, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.91763*((1.+(-(0.0002712*x)))/(1.+(9.94567e-05*x)))" 
2, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.91763*((1.+(-(0.0002712*x)))/(1.+(9.94567e-05*x)))" 
2, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.91763*((1.+(-(0.0002712*x)))/(1.+(9.94567e-05*x))))-0.19089879095554352" 
2, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.91763*((1.+(-(0.0002712*x)))/(1.+(9.94567e-05*x))))-0.064750656485557556" 
2, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.91763*((1.+(-(0.0002712*x)))/(1.+(9.94567e-05*x))))-0.063962399959564209" 
2, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.91763*((1.+(-(0.0002712*x)))/(1.+(9.94567e-05*x))))-0.05953550711274147" 
