#Contacts: Martin Flechl, Steve Sekula, Maria Ubiali, Date: Apr 8, 2015
#######################################################################
#IF YOU USE THESE NUMBERS, CITE *AT LEAST* THE REFERENCES GIVEN HERE: https://twiki.cern.ch/twiki/bin/view/LHCPhysics/LHCHXSWGMSSMCharged#Citation_guide
#######################################################################
#A preliminary version of grid of Santander-matched cross sections in tan beta (0.1-60) and mH+ (200-1000 GeV), sqrt(s)=13 TeV, in units of GeV and picobarn.
#Also given are total uncertainties (PDF, alphas, scale, mb). Numbers are for 2HDM type-II (a la MSSM), but without SQCD corrections.
#The uncertainties at very low tan beta might not be accurate, please use with care and only after discussing with the authors.
#The numbers for type-II 2HDM can also be applied to type I/III/IV, if you follow the recipe outline at the end of Section 6 of arXiv:1409.5615
mhp tb xsec unc- unc+
440 7 0.0158993 0.00297399 0.00278611 
440 8 0.0153136 0.00285521 0.0026694 
440 9 0.0157339 0.00293913 0.00274414 
440 10 0.0168406 0.00314315 0.00293073 
440 11 0.0185039 0.00346916 0.00323212 
440 12 0.02058 0.00387884 0.00361155 
440 13 0.0230641 0.00430152 0.00400008 
440 14 0.0258766 0.00479032 0.00444964 
440 15 0.0289794 0.00539023 0.00500712 
440 16 0.0324344 0.0060309 0.00560075 
440 17 0.0361428 0.00674987 0.00626945 
440 18 0.0401335 0.00749523 0.00695999 
440 19 0.0444026 0.00825619 0.00766388 
440 20 0.0489038 0.00908667 0.00843338 
440 25 0.0753608 0.0140042 0.0129939 
440 30 0.107794 0.0201944 0.0187445 
440 35 0.146586 0.0275268 0.0255603 
440 40 0.191213 0.0355639 0.0329968 
440 45 0.241858 0.0451763 0.0419245 
440 50 0.298572 0.055407 0.0513914 
440 55 0.361388 0.0673225 0.0624712 
440 60 0.429687 0.0800088 0.0742372 
460 0.1 42.9685 8.36683 7.85712 
460 0.2 10.7548 2.0786 1.9505 
460 0.3 4.77923 0.927969 0.871005 
460 0.4 2.6894 0.51986 0.487801 
460 0.5 1.72232 0.334139 0.313642 
460 0.6 1.195 0.231995 0.217744 
460 0.7 0.878154 0.170471 0.160007 
460 0.8 0.67282 0.130647 0.12262 
460 0.9 0.531642 0.103205 0.0968707 
460 1 0.430505 0.0833724 0.0782517 
460 2 0.108019 0.0212238 0.0199384 
460 3 0.0487358 0.0094826 0.00890032 
460 4 0.0285465 0.00552168 0.00517839 
460 5 0.0198009 0.00383178 0.00359049 
460 6 0.0156563 0.00301791 0.00282257 
460 7 0.0138077 0.00266586 0.00248877 
460 8 0.0133047 0.00254968 0.00237424 
460 9 0.0136972 0.0026285 0.00244441 
460 10 0.0146073 0.00280437 0.0026039 
460 11 0.0160499 0.00310501 0.00288156 
460 12 0.0178515 0.00343376 0.00318198 
460 13 0.0200132 0.00382331 0.00353964 
460 14 0.022446 0.00428937 0.00396945 
460 15 0.0251879 0.00482141 0.00446067 
460 16 0.0281453 0.005382 0.00497693 
460 17 0.0313656 0.00599843 0.00554673 
460 18 0.0348283 0.00665717 0.00615401 
460 19 0.038515 0.00737706 0.00682037 
460 20 0.042465 0.00813071 0.0075163 
460 25 0.0653419 0.0125092 0.0115608 
460 30 0.0936332 0.0179206 0.0165582 
460 35 0.127091 0.0241985 0.0223468 
460 40 0.16603 0.0318616 0.0294436 
460 45 0.209774 0.0400843 0.0370223 
460 50 0.258855 0.0495348 0.0457621 
460 55 0.313205 0.0600383 0.055473 
460 60 0.372804 0.071485 0.0660462 
480 0.1 37.4816 7.22373 6.77978 
480 0.2 9.36704 1.8049 1.69344 
480 0.3 4.16805 0.806583 0.756973 
480 0.4 2.34491 0.452168 0.424282 
480 0.5 1.49999 0.292472 0.274577 
480 0.6 1.04193 0.198228 0.185819 
480 0.7 0.765519 0.147968 0.138857 
480 0.8 0.586552 0.113475 0.106497 
480 0.9 0.463228 0.0895886 0.0840821 
480 1 0.375461 0.0726279 0.0681564 
480 2 0.094266 0.0183686 0.0172502 
480 3 0.0424391 0.00821016 0.00770509 
480 4 0.0248504 0.00477635 0.00447813 
480 5 0.0172119 0.00331552 0.00310564 
480 6 0.0136561 0.00263363 0.00246381 
480 7 0.012035 0.00228169 0.00212759 
480 8 0.0115754 0.00221015 0.00205735 
480 9 0.0118637 0.00227269 0.00211276 
480 10 0.0127345 0.0024332 0.00225872 
480 11 0.0139649 0.00268768 0.00249346 
480 12 0.0155309 0.00297927 0.0027611 
480 13 0.0174042 0.00331422 0.00306759 
480 14 0.0195213 0.00373268 0.00345456 
480 15 0.021894 0.00415781 0.00384437 
480 16 0.0244773 0.00468524 0.00433342 
480 17 0.0272581 0.00519073 0.00479766 
480 18 0.0302837 0.00577309 0.00533571 
480 19 0.0335067 0.00637194 0.00588762 
480 20 0.0368835 0.00706958 0.00653616 
480 25 0.0568328 0.0108335 0.0100077 
480 30 0.0813859 0.015467 0.0142837 
480 35 0.110498 0.0212026 0.0195939 
480 40 0.144158 0.0272178 0.0251214 
480 45 0.182185 0.0347295 0.0320741 
480 50 0.225158 0.0430924 0.0398118 
480 55 0.272543 0.0520185 0.0480539 
480 60 0.323803 0.0619437 0.0572294 
500 0.1 32.8138 6.3401 6.04662 
500 0.2 8.2093 1.58563 1.51189 
500 0.3 3.64882 0.704948 0.67214 
500 0.4 2.05222 0.396214 0.377784 
500 0.5 1.31067 0.253079 0.241272 
500 0.6 0.912379 0.176335 0.168141 
500 0.7 0.669877 0.129605 0.123592 
500 0.8 0.513251 0.0992764 0.0946688 
